"num_awards","prog","math","length"
0,"Vocational",41,2
0,"General",41,2.2
0,"Vocational",44,1.1
0,"Vocational",42,1.2
0,"Vocational",40,1
0,"General",42,3
0,"Vocational",46,3
0,"Vocational",40,3
0,"Vocational",33,1.9
0,"Vocational",46,1.6
0,"Vocational",40,0.9
0,"Academic",38,3
0,"Vocational",44,2.8
0,"Vocational",37,2
0,"Vocational",40,3
0,"General",39,3
0,"General",43,3
0,"Vocational",38,3
0,"Academic",45,1.5
0,"Vocational",39,3
0,"General",42,3
0,"Vocational",45,2.5
0,"Vocational",40,3
0,"Vocational",40,0.8
0,"Academic",43,3
0,"Academic",49,0.7
1,"General",44,1.5
1,"General",46,3
0,"Academic",46,3
1,"Academic",41,1.5
0,"General",42,1.9
0,"Vocational",47,0.7
1,"Academic",43,2.9
0,"Academic",49,3
1,"Vocational",40,3
1,"Vocational",39,3
0,"Vocational",49,2.3
0,"Academic",42,2.2
0,"General",43,0.7
0,"Academic",41,2.1
0,"General",57,1
0,"Academic",50,2.7
0,"Academic",44,1.1
0,"Vocational",39,1.8
0,"Academic",52,2.2
1,"Vocational",41,0.9
0,"Vocational",39,2.6
0,"General",39,1.1
0,"Vocational",52,1.8
1,"Academic",48,2.6
0,"Academic",45,3
0,"Vocational",40,1.5
0,"General",46,3
3,"Academic",50,3
0,"Academic",43,2.3
0,"General",43,2.4
1,"Academic",54,2.1
1,"General",42,2.6
0,"Vocational",45,3
0,"General",54,3
0,"Vocational",47,1.1
1,"Academic",45,0.9
0,"Academic",43,2.8
1,"Vocational",40,3
0,"Vocational",52,2.7
1,"Vocational",52,3
0,"General",45,0.9
0,"Academic",49,2.9
1,"Academic",53,3
0,"General",54,1.6
2,"Academic",50,2.8
0,"Academic",48,3
0,"Academic",51,3
0,"General",41,1.2
1,"Vocational",51,3
0,"General",46,2.1
0,"Vocational",55,0.9
0,"General",46,1.4
0,"General",61,3
0,"Academic",45,1.8
0,"Vocational",54,1
0,"Academic",54,2.7
1,"Academic",51,2.2
0,"General",49,1.3
0,"Vocational",56,2.8
0,"Academic",53,3
1,"General",49,0.8
0,"General",57,1.1
0,"General",42,3
0,"Vocational",46,1.7
0,"Vocational",45,1.2
0,"General",55,0.8
0,"Vocational",47,2.4
0,"Academic",50,1.6
0,"Vocational",41,3
0,"General",52,3
1,"Academic",57,2.7
0,"Vocational",53,0.7
1,"Vocational",51,3
0,"General",57,2.7
0,"Academic",51,2.8
0,"Vocational",40,2.3
0,"Vocational",50,0.8
0,"Vocational",57,3
0,"General",35,0.9
0,"Academic",49,1
0,"General",50,1.2
1,"General",55,2.5
0,"Academic",48,3
0,"Academic",52,3
1,"Academic",53,2.2
1,"Academic",59,2.1
2,"Academic",66,3
0,"Academic",57,1.4
1,"Academic",54,0.8
0,"Vocational",57,1.5
1,"Academic",54,1.2
0,"Academic",54,3
0,"Academic",54,2.8
2,"Academic",49,1.3
1,"Vocational",51,2.3
3,"Academic",58,2.6
1,"Academic",60,3
0,"Academic",51,3
0,"Academic",63,3
1,"Academic",50,1
1,"Academic",53,1.5
0,"Academic",53,2.6
0,"Academic",55,2.7
1,"Academic",56,2
0,"Academic",49,3
1,"Academic",61,2
0,"General",49,2.8
0,"Academic",57,0.8
0,"Academic",66,2.9
0,"General",56,1.2
3,"Academic",60,3
1,"Academic",57,3
0,"Academic",59,0.9
0,"Academic",58,2.9
0,"Academic",57,3
3,"Academic",64,2.9
0,"General",60,3
0,"General",54,0.8
1,"Academic",61,1.4
1,"General",58,1.7
0,"General",56,1.3
0,"General",60,2.9
0,"Academic",55,1.4
3,"Academic",57,0.9
0,"Academic",62,1.5
0,"Academic",56,1
0,"Academic",51,2.4
2,"Vocational",56,3
0,"General",61,1
1,"Academic",63,2.1
5,"Academic",61,1.1
0,"Academic",67,2.6
0,"Academic",48,3
1,"Academic",61,1.5
0,"General",57,2.9
0,"General",48,2.8
2,"Academic",65,3
4,"Academic",62,2.6
1,"Academic",61,2.5
0,"Vocational",53,3
1,"General",58,2.1
1,"Academic",64,3
3,"Academic",65,2.1
1,"General",56,3
1,"General",63,1.3
3,"Academic",57,1.4
2,"Academic",72,3
0,"Vocational",66,3
0,"Academic",62,3
1,"Academic",58,3
1,"Academic",63,3
3,"Academic",64,1.2
2,"Academic",72,3
0,"Academic",64,2.8
6,"Academic",69,1.4
4,"Academic",70,1.5
1,"Academic",66,3
0,"General",58,2.9
2,"Academic",62,2.9
2,"Academic",67,3
1,"Academic",64,1.5
2,"Academic",63,0.9
1,"Academic",68,2.4
1,"Academic",75,0.7
0,"Academic",69,2.9
1,"Academic",65,2.3
2,"Academic",71,0.7
5,"Academic",71,2.6
1,"Academic",60,3
2,"Academic",71,3
2,"Vocational",75,1.5
1,"Academic",71,3
0,"Academic",72,3
3,"Academic",73,2
